tabla|column_id|columna|tipo|max_length|precision|scale|is_nullable|is_identity|default_value|es_pk
-----|---------|-------|----|----------|---------|-----|-----------|-----------|-------------|-----
ActualizacionCorte|1|idCorte|int|4|10|0|1|0|NULL|0
ActualizacionCorte|2|codigo|bigint|8|19|0|1|0|NULL|0
ActualizacionCorte|3|corte|nvarchar|100|0|0|1|0|NULL|0
ActualizacionCorte|4|tipo|nvarchar|100|0|0|1|0|NULL|0
ActualizacionCorte|5|idCorteMaestro|int|4|10|0|1|0|NULL|0
ActualizacionCorte|6|porcentaje|float|8|53|0|1|0|NULL|0
ActualizacionCorte|7|precioKg|float|8|53|0|1|0|NULL|0
ActualizacionCorte|8|porcentajeHueso|float|8|53|0|1|0|NULL|0
ActualizacionCorte|9|independiente|int|4|10|0|1|0|NULL|0
ActualizacionCorte|10|desvioEstandar|float|8|53|0|1|0|NULL|0
ActualizacionCorte|11|creado|datetime|8|23|3|1|0|NULL|0
ActualizacionCorte|12|actualizado|datetime|8|23|3|1|0|NULL|0
ActualizacionCorte|13|ingresoRapidoEmbutido|tinyint|1|3|0|1|0|NULL|0
ActualizacionCorte|14|enCierreStock|tinyint|1|3|0|1|0|NULL|0
ActualizacionCorte|15|promedio|float|8|53|0|1|0|NULL|0
ActualizacionCorte|16|idEmpresa|int|4|10|0|0|0|(coalesce(TRY_CAST(session_context(N'IdEmpresa') AS [int]),(0)))|0
AlicuotaIvaPorFactura|1|idAlicuotaIvaFactura|int|4|10|0|0|1|NULL|1
AlicuotaIvaPorFactura|2|idFacturaElectronica|int|4|10|0|0|0|NULL|0
AlicuotaIvaPorFactura|3|idIva|int|4|10|0|0|0|NULL|0
AlicuotaIvaPorFactura|4|baseImponible|float|8|53|0|1|0|NULL|0
AlicuotaIvaPorFactura|5|importe|float|8|53|0|1|0|NULL|0
AlicuotaIvaPorFactura|6|idEmpresa|int|4|10|0|0|0|(coalesce(TRY_CAST(session_context(N'IdEmpresa') AS [int]),(0)))|0
AlicuotasIva|1|idIva|int|4|10|0|1|0|NULL|0
AlicuotasIva|2|iva|float|8|53|0|1|0|NULL|0
AlicuotasIva|3|orden|int|4|10|0|1|0|NULL|0
AlicuotasIva|4|mostrar|bit|1|1|0|1|0|NULL|0
AuditoriaCambioSucursalCaja|1|id|int|4|10|0|0|1|NULL|1
AuditoriaCambioSucursalCaja|2|idEmpresa|int|4|10|0|0|0|NULL|0
AuditoriaCambioSucursalCaja|3|idCierreCaja|int|4|10|0|0|0|NULL|0
AuditoriaCambioSucursalCaja|4|idUsuarioEjecutor|int|4|10|0|0|0|NULL|0
AuditoriaCambioSucursalCaja|5|usuarioEjecutor|nvarchar|300|0|0|1|0|NULL|0
AuditoriaCambioSucursalCaja|6|idUsuarioCaja|int|4|10|0|0|0|NULL|0
AuditoriaCambioSucursalCaja|7|usuarioCaja|nvarchar|300|0|0|1|0|NULL|0
AuditoriaCambioSucursalCaja|8|idSucursalAnterior|int|4|10|0|0|0|NULL|0
AuditoriaCambioSucursalCaja|9|sucursalAnterior|nvarchar|300|0|0|1|0|NULL|0
AuditoriaCambioSucursalCaja|10|idSucursalNueva|int|4|10|0|0|0|NULL|0
AuditoriaCambioSucursalCaja|11|sucursalNueva|nvarchar|300|0|0|1|0|NULL|0
AuditoriaCambioSucursalCaja|12|fechaDesde|datetime|8|23|3|0|0|NULL|0
AuditoriaCambioSucursalCaja|13|fechaHasta|datetime|8|23|3|0|0|NULL|0
AuditoriaCambioSucursalCaja|14|fechaCambio|datetime|8|23|3|0|0|NULL|0
AuditoriaCambioSucursalCaja|15|detalle|nvarchar|-1|0|0|1|0|NULL|0
Bancos|1|banco|nvarchar|100|0|0|1|0|NULL|0
Bancos|2|pais|nchar|20|0|0|1|0|NULL|0
Bancos|3|idEmpresa|int|4|10|0|0|0|(coalesce(TRY_CAST(session_context(N'IdEmpresa') AS [int]),(0)))|0
CatalogoGlobalImportacionProductos|1|IdCatalogoGlobalImportacionProducto|int|4|10|0|0|1|NULL|1
CatalogoGlobalImportacionProductos|2|IdEmpresa|int|4|10|0|0|0|NULL|0
CatalogoGlobalImportacionProductos|3|IdProductoGlobal|int|4|10|0|0|0|NULL|0
CatalogoGlobalImportacionProductos|4|IdProductoEmpresa|int|4|10|0|0|0|NULL|0
CatalogoGlobalImportacionProductos|5|FechaAlta|datetime|8|23|3|0|0|(getdate())|0
CatalogoGlobalImportacionProductos|6|IdUsuarioAlta|int|4|10|0|1|0|NULL|0
CatalogoGlobalProducto|1|idCorte|int|4|10|0|0|0|NULL|1
CatalogoGlobalProducto|2|codigo|bigint|8|19|0|1|0|NULL|0
CatalogoGlobalProducto|3|corte|nvarchar|100|0|0|1|0|NULL|0
CatalogoGlobalProducto|4|tipo|nvarchar|100|0|0|1|0|NULL|0
CatalogoGlobalProducto|5|idCorteMaestro|int|4|10|0|1|0|NULL|0
CatalogoGlobalProducto|6|porcentaje|float|8|53|0|1|0|NULL|0
CatalogoGlobalProducto|7|precioKg|float|8|53|0|1|0|NULL|0
CatalogoGlobalProducto|8|porcentajeHueso|float|8|53|0|1|0|NULL|0
CatalogoGlobalProducto|9|independiente|int|4|10|0|1|0|NULL|0
